name,id,gender
John Lasseter,7879,2
Joe Johnston,4945,2
Howard Deutch,26502,2
Forest Whitaker,2178,2
Charles Shyer,56106,2
Michael Mann,638,2
Sydney Pollack,2226,2
Peter Hewitt,18357,2
Peter Hyams,37710,2
Martin Campbell,10702,2
Rob Reiner,3026,2
Mel Brooks,14639,2
Simon Wells,21879,2
Oliver Stone,1152,2
Renny Harlin,16938,2
Martin Scorsese,1032,2
Ang Lee,1614,2
Allison Anders,3110,1
Alexandre Rockwell,3111,2
Robert Rodriguez,2294,2
Quentin Tarantino,138,2
Steve Oedekerk,4489,2
Joseph Ruben,52629,2
Barry Sonnenfeld,5174,2
Jon Amiel,15148,2
Richard Donner,7187,2
Victor Salva,56349,2
Mike Figgis,6111,2
Oliver Parker,56710,2
Lesli Linka Glatter,15798,1
Roger Michell,7017,2
Jean-Pierre Jeunet,2419,2
Marc Caro,13680,0
Zhang Yimou,607,2
John N. Smith,60295,2
Terry Gilliam,280,2
Jean-Jacques Annaud,2352,2
Chris Noonan,58137,2
Christopher Hampton,12952,2
Tim Robbins,504,2
Stephen Low,77867,2
Andy Tennant,17167,2
Amy Heckerling,57434,1
Darrell James Roodt,16730,0
Richard Loncraine,33315,2
Albert Hughes,11447,2
Allen Hughes,11448,2
Michael Hoffman,52405,2
Paul W.S. Anderson,4014,2
Gus Van Sant,5216,2
Jocelyn Moorhouse,3047,1
David Fincher,7467,2
Mike Gabriel,65530,2
Eric Goldberg,65531,2
Patricia Rozema,55439,1
Bryan Singer,9032,2
Richard W. Munchkin,100505,2
Woody Allen,1243,2
Gianni Amelio,128107,2
Holly Goldberg Sloan,71338,1
Ulu Grosbard,140354,2
Robert Tinnell,30586,2
Jodie Foster,1038,1
Michael Radford,28898,2
Robert Lepage,38527,2
Frank Oz,7908,2
John Schlesinger,19304,2
Stephen Herek,18356,2
Paris Barclay,45649,2
Bill Bennett,49361,2
Jason Bloom,57870,2
Farhad Mann,69721,2
James Foley,15890,2
Josiane Balasko,35137,1
F. Gary Gray,37932,2
Robert Rodriguez,2294,2
Andrew Sipes,70850,2
Noah Baumbach,5656,2
Claude Lelouch,16862,2
Michael Goldenberg,10296,2
Steve Miner,58712,2
Christian Duguay,25735,2
Susanne Ofteringer,1080309,0
Sean Penn,2228,2
Brian Gibson,18069,2
Jafar Panahi,120229,2
Gary Fleder,5501,2
Marleen Gorris,13496,0
Tim Reid,27771,2
Henry Jaglom,117075,2
Philip Haas,55038,0
Ridley Scott,578,2
Ken Kwapis,29009,0
Penelope Spheeris,58448,0
John Badham,12840,2
John Duigan,72624,2
Stephen Frears,3224,0
Wes Craven,5140,2
Ted Demme,34849,2
John Woo,11401,2
Kenneth Branagh,11181,2
Mathieu Kassovitz,2406,2
Paul W.S. Anderson,4014,2
Nick Broomfield,92561,2
Harold Becker,23213,2
Wes Anderson,5655,2
Nick Castle,14692,2
John Dahl,21053,2
Dennis Dugan,17494,2
Clint Eastwood,190,2
Doris Dörrie,18969,1
Brian Henson,65298,2
Robert Leacock,64077,0
James Bruce,1234226,0
Mel Gibson,2461,2
Martin Scorsese,1032,2
Stanley Tong,44916,2
Barbet Schroeder,23393,2
Mort Ransen,184475,2
Étienne Chatiliez,20849,2
Jon Blair,82293,0
Benjamin Ross,81020,0
Eric Schaeffer,68185,2
Andrew Davis,12989,2
Charles T. Kanganis,36147,2
John N. Smith,60295,2
Reginald Hudlin,68215,2
Wong Kar-wai,12453,2
Giuseppe Tornatore,65314,0
David O. Russell,17883,2
Peter MacDonald,16589,2
Moufida Tlatli,239321,0
Michel Negroponte,93632,0
Bryan Gordon,122583,2
Rebecca Miller,41670,1
Michael Lindsay-Hogg,125543,2
William Friedkin,15175,0
Ángel Muñiz,114997,2
Craig Baldwin,84445,0
David S. Ward,12920,2
Mark Rappaport,1077999,0
Dirk Shafer,45382,2
Terence Davies,93911,2
Sandip Ray,1080311,0
Jon Avnet,18250,2
Mike Nichols,5342,2
Jakov Sedlar,1285121,0
Edward Burns,12833,2
Michael Bay,865,2
Christopher Cain,56828,2
Scott Kalvert,65390,2
