adult,budget,genres,id,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,collection_name,collection_id,genre_ids,production_companies_ids,actor_1_name,actor_1_gender,actor_1_id,actor_2_name,actor_2_gender,actor_2_id,actor_3_name,actor_3_gender,actor_3_id,actor_4_name,actor_4_gender,actor_4_id,actor_5_name,actor_5_gender,actor_5_id,director_name,director_gender,director_id,keyword_1_name,keyword_1_id,keyword_2_name,keyword_2_id,keyword_3_name,keyword_3_id,keyword_4_name,keyword_4_id,keyword_5_name,keyword_5_id
False,30000000,"Animation, Comedy, Family",862,en,21.946943,Pixar Animation Studios,US,1995-10-30,373554033.0,81.0,English,Toy Story,7.7,5415.0,Toy Story Collection,10194,"16, 35, 10751",3,Tom Hanks,2,31,Tim Allen,2,12898,Don Rickles,2,7167,Jim Varney,2,12899,Wallace Shawn,2,12900,John Lasseter,2,7879,jealousy,931,toy,4290,boy,5202,friendship,6054,friends,9713
False,65000000,"Adventure, Fantasy, Family",8844,en,17.015539,"TriStar Pictures, Teitler Film, Interscope Communications",US,1995-12-15,262797249.0,104.0,"English, Français",Jumanji,6.9,2413.0,,,"12, 14, 10751","559, 2550, 10201",Robin Williams,2,2157,Jonathan Hyde,2,8537,Kirsten Dunst,1,205,Bradley Pierce,0,145151,Bonnie Hunt,1,5149,Joe Johnston,2,4945,board game,10090,disappearance,10941,based on children's book,15101,new home,33467,recluse,158086
False,0,Comedy,11862,en,8.387519,"Sandollar Productions, Touchstone Pictures",US,1995-02-10,76578911.0,106.0,English,Father of the Bride Part II,5.7,173.0,Father of the Bride Collection,96871,35,"5842, 9195",Steve Martin,2,67773,Diane Keaton,1,3092,Martin Short,2,519,Kimberly Williams-Paisley,1,70696,George Newbern,2,59222,Charles Shyer,2,56106,baby,1009,midlife crisis,1599,confidence,2246,aging,4995,daughter,5600
False,60000000,"Action, Crime, Drama, Thriller",949,en,17.924927,"Regency Enterprises, Forward Pass, Warner Bros.",US,1995-12-15,187436818.0,170.0,"English, Español",Heat,7.7,1886.0,,,"28, 80, 18, 53","508, 675, 6194",Al Pacino,2,1158,Robert De Niro,2,380,Val Kilmer,2,5576,Jon Voight,2,10127,Tom Sizemore,2,3197,Michael Mann,2,638,robbery,642,detective,703,bank,974,obsession,1523,chase,3713
False,58000000,"Comedy, Romance",11860,en,6.677277,"Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH","DE, US",1995-12-15,0.0,127.0,"Français, English",Sabrina,6.2,141.0,,,"35, 10749","4, 258, 932, 5842, 14941, 55873, 58079",Harrison Ford,2,3,Julia Ormond,1,15887,Greg Kinnear,2,17141,Angie Dickinson,1,4301,Nancy Marchand,1,12957,Sydney Pollack,2,2226,paris,90,brother brother relationship,380,chauffeur,2072,long island,9398,fusion,9492
False,35000000,"Action, Adventure, Thriller",9091,en,5.23158,"Universal Pictures, Imperial Entertainment, Signature Entertainment",US,1995-12-22,64350171.0,106.0,English,Sudden Death,5.5,174.0,,,"28, 12, 53","33, 21437, 23770",Jean-Claude Van Damme,2,15111,Powers Boothe,2,6280,Dorian Harewood,2,8656,Raymond J. Barry,2,10361,Ross Malinger,2,12928,Peter Hyams,2,37710,terrorist,949,hostage,1562,explosive,1653,vice president,193533,,
False,58000000,"Adventure, Action, Thriller",710,en,14.686036,"United Artists, Eon Productions","GB, US",1995-11-16,352194034.0,130.0,"English, Pусский, Español",GoldenEye,6.6,1194.0,James Bond Collection,645,"12, 28, 53","60, 7576",Pierce Brosnan,2,517,Sean Bean,2,48,Izabella Scorupco,1,10695,Famke Janssen,1,10696,Joe Don Baker,2,10671,Martin Campbell,2,10702,cuba,701,falsely accused,769,secret identity,1308,computer virus,2812,secret base,3268
False,62000000,"Comedy, Drama, Romance",9087,en,6.318445,"Columbia Pictures, Castle Rock Entertainment",US,1995-11-17,107879496.0,106.0,English,The American President,6.5,199.0,,,"35, 18, 10749","5, 97",Michael Douglas,2,3392,Annette Bening,1,516,Michael J. Fox,2,521,Martin Sheen,2,8349,Anna Deavere Smith,1,63279,Rob Reiner,2,3026,white house,833,usa president,840,new love,1605,widower,33476,wildlife conservation,211505
False,0,"Comedy, Horror",12110,en,5.430331,"Columbia Pictures, Castle Rock Entertainment, Enigma Pictures","FR, US",1995-12-22,0.0,88.0,"English, Deutsch",Dracula: Dead and Loving It,5.7,210.0,,,"35, 27","5, 97, 6368",Leslie Nielsen,2,7633,Mel Brooks,2,14639,Amy Yasbeck,1,1219,Peter MacNicol,2,12688,Lysette Anthony,1,12812,Mel Brooks,2,14639,dracula,3633,spoof,11931,,,,,,
False,0,"Family, Animation, Adventure",21032,en,12.140733,"Universal Pictures, Amblin Entertainment, Amblimation",US,1995-12-22,11348324.0,78.0,English,Balto,7.1,423.0,Balto Collection,117693,"10751, 16, 12","33, 56, 4105",Kevin Bacon,2,4724,Bob Hoskins,2,382,Bridget Fonda,1,2233,Jim Cummings,2,12077,Phil Collins,2,110001,Simon Wells,2,21879,wolf,1994,dog-sledding race,6411,alaska,9880,dog,15162,goose,15169
